type,date,mean,median
globe,2014-01-01,0.17643095306029402,0.025014746028440102
globe,2014-02-01,0.19686873051931594,0.05351338028249217
globe,2014-03-01,0.18273013929204376,0.054877577949562995
globe,2014-04-01,0.1997364451097568,0.09754663218176735
globe,2014-05-01,0.09035485950653707,0.00446910421594892
globe,2014-06-01,0.035192712729388065,-0.042225959543526245
globe,2014-07-01,0.07648189617264328,-0.00161038826987597
globe,2014-08-01,0.14673634420607476,0.07418858927984834
globe,2014-09-01,0.14903694204149295,0.042695355151748375
globe,2014-10-01,0.15957590586378256,0.0037029650305636045
globe,2014-11-01,0.013981871860027582,-0.13250291871879166
globe,2014-12-01,0.1469831044320274,-0.006360087863248065
globe,2015-01-01,0.1693693167881803,0.0519144204360787
globe,2015-02-01,0.28429658599416574,0.14821371197338917
globe,2015-03-01,0.21969790593310717,0.10832087261965467
globe,2015-04-01,0.1389343567810288,0.024694499624820974
globe,2015-05-01,0.09822676501267416,-0.015750955735485767
globe,2015-06-01,0.10882746172652892,-0.006481267811010256
globe,2015-07-01,0.09291698793003333,-0.02543631342411906
globe,2015-08-01,0.08601065836897777,-0.024899252433663317
globe,2015-09-01,0.16889960813121369,-1.1225032966861954e-4
globe,2015-10-01,0.18026590490526853,0.025880892698837796
globe,2015-11-01,0.17507582520842366,0.03094858611111521
globe,2015-12-01,0.17163479250886826,-0.019357154564716397
globe,2016-01-01,0.09477373025827485,-0.06797156969194704
globe,2016-02-01,0.09487960411132246,-0.03901969016623939
globe,2016-03-01,0.11214758703444559,-0.01823934310794042
globe,2016-04-01,0.21213058571380575,0.04979167446936211
globe,2016-05-01,0.2027957873791438,0.06411648297227468
globe,2016-06-01,0.1435473502585841,-0.009683666714273731
globe,2016-07-01,0.09446219924408077,-0.04201135921600063
globe,2016-08-01,0.20992164254168744,-0.03563186690694192
globe,2016-09-01,1.0038083608005048,0.010438143041687446
globe,2016-10-01,0.23312073506329986,0.034740466860588
globe,2016-11-01,0.14286928635106438,-0.010121368086926525
globe,2016-12-01,0.08070407516691115,-0.06283243676408153
globe,2017-01-01,0.24592625174537935,0.05668920104451604
globe,2017-02-01,0.30675058779135445,0.1549275287653123
globe,2017-03-01,0.3742639880849693,0.197017348832349
globe,2017-04-01,0.4477457841700025,0.26328635485618834
globe,2017-05-01,0.42626208176465724,0.22866367654332365
globe,2017-06-01,0.3376194970665202,0.147935358075832
globe,2017-07-01,0.2960718631436703,0.12473111914595986
globe,2017-08-01,0.3344544385237652,0.15473635566670765
globe,2017-09-01,0.44902469660981875,0.22469181947374559
globe,2017-10-01,0.4177505463565583,0.2716285386183882
globe,2017-11-01,0.34911814216618786,0.21529384119099432
globe,2017-12-01,0.2684657634004136,0.15462241356308487
globe,2018-01-01,0.2459415787052986,0.13325546220247433
globe,2018-02-01,0.275643766131523,0.16816215745939106
globe,2018-03-01,0.34875736079742625,0.22263528380349457
globe,2018-04-01,0.3619099777458642,0.2622762869206806
globe,2018-05-01,0.29196763757707916,0.21148619992670964
globe,2018-06-01,0.23641224346925424,0.15212849161572703
globe,2018-07-01,0.26074869803730394,0.17031103212240678
globe,2018-08-01,0.24902384735128172,0.14583260717405938
globe,2018-09-01,0.26338733973662637,0.15941639458795678
globe,2018-10-01,0.310202487071679,0.19297412484028637
globe,2018-11-01,0.31857173444509035,0.17293040151044264
globe,2018-12-01,0.25866799836976956,0.11696759269221176
globe,2019-01-01,0.19308001202479042,0.04543907298006386
globe,2019-02-01,0.2417747451663509,0.102267412275325
globe,2019-03-01,0.2911287629340838,0.14168632901823408
globe,2019-04-01,0.3572630111684955,0.1945761904621685
globe,2019-05-01,0.31670627207656804,0.17283436456841533
globe,2019-06-01,0.30944434437918106,0.14106930781644642
globe,2019-07-01,0.29166593348958897,0.11456194601167055
globe,2019-08-01,0.30449043978819373,0.10867481374973104
globe,2019-09-01,0.29712322373945377,0.13303639290143876
globe,2019-10-01,0.3913573874044022,0.18787183961775802
globe,2019-11-01,0.3414669918111789,0.18187962064222266
globe,2019-12-01,0.26431693152700003,0.10412770870394084
globe,2020-01-01,0.23299255412028702,0.023490672746864533
globe,2020-02-01,0.4453524431993378,0.21935035146922705
globe,2020-03-01,0.44351900129926247,0.2653351059400938
globe,2020-04-01,0.44814088735894986,0.30136647021133345
globe,2020-05-01,0.33376141762515943,0.2405567983653748
globe,2020-06-01,0.30253997395583065,0.21230921273649558
globe,2020-07-01,0.29370797554812084,0.19377025596097086
globe,2020-08-01,0.30888711057235774,0.19307160512399202
globe,2020-09-01,0.3345646114749103,0.2178291032124265
globe,2020-10-01,0.34497648069389913,0.24373815718490915
globe,2020-11-01,0.40798657372940295,0.252934017269123
globe,2020-12-01,0.32176924130425344,0.19837383356676008
globe,2021-01-01,0.2935914389738708,0.1775273715155793
globe,2021-02-01,0.2919879434839079,0.17515549341452277
globe,2021-03-01,0.4038097813291864,0.26355594605224175
globe,2021-04-01,0.41917148587567415,0.3043131174359718
globe,2021-05-01,0.37192865123304014,0.24358336765586974
globe,2021-06-01,0.3504370707515547,0.2157579919438049
globe,2021-07-01,0.34461557878043947,0.2005886020497552
globe,2021-08-01,0.40884821988318265,0.28109196434082223
globe,2021-09-01,0.3341350289554392,0.20710431381577415
globe,2021-10-01,0.4150211864824898,0.26904974774037166
globe,2021-11-01,0.36494407660275,0.2542577718613058
globe,2021-12-01,0.3469588710122475,0.22184819590058516
globe,2022-01-01,0.3160889912867343,0.1990055554097634
globe,2022-02-01,0.3408589230475641,0.2403602073383227
globe,2022-03-01,0.39049378716497146,0.27007287738853614
globe,2022-04-01,0.42100436200728,0.30568745173872663
globe,2022-05-01,0.39978449954996575,0.28495069447628024
globe,2022-06-01,0.3782589381158304,0.2496266579141211
globe,2022-07-01,0.19148079762488263,0.04364368483703128
globe,2022-08-01,0.3460123631803884,0.17738235307123817
globe,2022-09-01,0.41587148844637967,0.2866135758708746
globe,2022-10-01,0.4027327287013602,0.2783088738934181
globe,2022-11-01,0.3624184940359448,0.25594157946218876
globe,2022-12-01,0.329359120816497,0.21425874050525368
globe,2023-01-01,0.32796847118892064,0.2150568371513794
globe,2023-02-01,0.35288193531168194,0.25561119238987184
globe,2023-03-01,0.44396402352389835,0.30203078714668474
globe,2023-04-01,0.4804092127315047,0.3641964640525792
globe,2023-05-01,0.4366908209769175,0.3062250009584189
globe,2023-06-01,0.3976470317366643,0.2574012532994007
globe,2023-07-01,0.3665266730638199,0.24432864188542355
globe,2023-08-01,0.3863795070266902,0.2654442061872724
globe,2023-09-01,0.3887574951464429,0.29365149492423037
globe,2023-10-01,0.4260014970631261,0.31871219624505787
globe,2023-11-01,0.49559989842412155,0.37765136838514574
globe,2023-12-01,0.3624929767127868,0.23576074117728107
globe,2024-01-01,0.33919053462141446,0.21410218275707393
land,2014-01-01,0.37608124838672663,0.04981529204236715
land,2014-02-01,0.4000056895105967,0.09060527855361986
land,2014-03-01,0.39729519921457457,0.10380115998113838
land,2014-04-01,0.4007900168854251,0.1305195312034244
land,2014-05-01,0.3015759455630323,0.049595163890666455
land,2014-06-01,0.2324036404440999,-0.007911347787470687
land,2014-07-01,0.2813039011646531,0.02175808474468135
land,2014-08-01,0.3507252597370993,0.10283100975368203
land,2014-09-01,0.3631906782388699,0.09089699590847751
land,2014-10-01,0.3896874136405507,0.059627265651910843
land,2014-11-01,0.22624250468871124,-0.09277382136386325
land,2014-12-01,0.373219364520676,0.033582990642248886
land,2015-01-01,0.3987351928054631,0.09732635961135774
land,2015-02-01,0.5215680341580019,0.2109290066443939
land,2015-03-01,0.42654124099350543,0.1533225824871175
land,2015-04-01,0.3617355787658258,0.0719998554185799
land,2015-05-01,0.3144448564957963,0.03758464957669891
land,2015-06-01,0.32921992289508994,0.038016844427885846
land,2015-07-01,0.3168864376209871,0.011743504628059908
land,2015-08-01,0.30390423372314845,0.015446964666614587
land,2015-09-01,0.3992270234689593,0.06562366015752105
land,2015-10-01,0.4179641979722896,0.08337747957518915
land,2015-11-01,0.41452260395907226,0.080204117055815
land,2015-12-01,0.4077012916985045,0.03365514715569368
land,2016-01-01,0.29559342864460664,-0.037463511019364196
land,2016-02-01,0.3272314024558135,0
land,2016-03-01,0.3952288208610145,0.01910847357952103
land,2016-04-01,0.42344995107477623,0.08020004525599753
land,2016-05-01,0.41828924624478614,0.10134538057324494
land,2016-06-01,0.36947908765987036,0.02591901208913499
land,2016-07-01,0.3138828197965416,-0.007378755545159049
land,2016-08-01,0.4259939593902304,-0.006167392303356662
land,2016-09-01,1.2475983660722079,0.056222906426188844
land,2016-10-01,0.4760841400034929,0.07787314502062762
land,2016-11-01,0.36685703923552365,0.020333284765037946
land,2016-12-01,0.3205931324995913,-0.020668154207037964
land,2017-01-01,0.48528580921971903,0.09585767200436757
land,2017-02-01,0.5397726458978069,0.19566014735599552
land,2017-03-01,0.6036800847955065,0.24606204989330482
land,2017-04-01,0.6668784948701774,0.30016533013251445
land,2017-05-01,0.6584824002975603,0.2718911506656263
land,2017-06-01,0.5737641158083134,0.1809079816599104
land,2017-07-01,0.5203894653538681,0.158333449318247
land,2017-08-01,0.5607841853854634,0.19110885654808168
land,2017-09-01,0.7142795008052135,0.28063242680751754
land,2017-10-01,0.6715144655292107,0.34777955602138216
land,2017-11-01,0.5867981265413168,0.26216257233681234
land,2017-12-01,0.501006330562507,0.19072971005749978
land,2018-01-01,0.4776692155180021,0.16090307623253902
land,2018-02-01,0.5010517955976278,0.20709040683835228
land,2018-03-01,0.570926145783067,0.2671144717463058
land,2018-04-01,0.5982309636030977,0.2939404900535718
land,2018-05-01,0.5155876256660469,0.2559080868025581
land,2018-06-01,0.45085276863699514,0.19475219581865746
land,2018-07-01,0.47999904398227666,0.20840417613571172
land,2018-08-01,0.46628379386096475,0.1905966522306497
land,2018-09-01,0.4924986677289074,0.20373778622216945
land,2018-10-01,0.5615916856700272,0.24540531086178966
land,2018-11-01,0.5464858191471211,0.23521678817786107
land,2018-12-01,0.4854093065006617,0.1538413405537741
land,2019-01-01,0.43867907984153826,0.08480303655390042
land,2019-02-01,0.49343766414847096,0.15473988874054528
land,2019-03-01,0.5391969417011014,0.19584048708112622
land,2019-04-01,0.5841842098872937,0.2335711551780299
land,2019-05-01,0.559469901644762,0.22308121305602088
land,2019-06-01,0.5589748700520109,0.17772902050562617
land,2019-07-01,0.5238920909473455,0.13498884138041845
land,2019-08-01,0.5242947381881118,0.13844909305791958
land,2019-09-01,0.532176595460722,0.1823739724765417
land,2019-10-01,0.6445160616341572,0.24794533600590277
land,2019-11-01,0.57000365611134,0.21863027040508626
land,2019-12-01,0.5034589767400129,0.1338951820521101
land,2020-01-01,0.4644857417916445,0.06227827802979935
land,2020-02-01,0.6890840342164535,0.27049371983001946
land,2020-03-01,0.6579721853614865,0.2942082022768591
land,2020-04-01,0.6624192080209246,0.33410790668740675
land,2020-05-01,0.5531804174269571,0.2801393620050029
land,2020-06-01,0.5135867173736948,0.24513879755460166
land,2020-07-01,0.4999254456479874,0.22795617103459082
land,2020-08-01,0.5261842838132464,0.23825522758460285
land,2020-09-01,0.5519348331055131,0.25667503243719797
land,2020-10-01,0.5699661377689866,0.2920646535304566
land,2020-11-01,0.6455391443547838,0.31667665942418
land,2020-12-01,0.5664808425707786,0.2688974613757589
land,2021-01-01,0.5184611497507218,0.20938181964383698
land,2021-02-01,0.5265407129961993,0.22368985067369668
land,2021-03-01,0.6163608399348253,0.2968025761481002
land,2021-04-01,0.6434159548485454,0.3363060786400468
land,2021-05-01,0.6075755425408532,0.29813079468126963
land,2021-06-01,0.5936668714594079,0.2664020516615262
land,2021-07-01,0.5878168976575927,0.25408832373300116
land,2021-08-01,0.645915528316215,0.33524344783141447
land,2021-09-01,0.5753600541742058,0.2659693712547023
land,2021-10-01,0.6544093517169872,0.32386819876866685
land,2021-11-01,0.5911364980546953,0.30502864446704087
land,2021-12-01,0.5972713794470992,0.2801510294632471
land,2022-01-01,0.5508844561259679,0.24069197544831267
land,2022-02-01,0.5898323839724869,0.2846669475041158
