id,mean,median,min,max,sd,type,landcover,geometry
built_0,2.1224940029047743,2.0721092736324542,0,6.598690381147871,1.118402445568793,built,50,"c(4.54665234808368, 7.50209334229241)"
built_1,2.5564706868015774,2.550487905528297,0,5.040826331158694,1.2566040383578805,built,50,"c(2.3706410736381, 6.51440151035276)"
built_2,2.1060217273479256,1.9161485211700078,0.5572011377594726,3.718242013073819,0.8013953949568957,built,50,"c(1.686642511057, 9.69246809957249)"
built_3,23.685251516792366,25.809173098164198,0,52.92776597098967,10.839750867152842,built,50,"c(15.0610495445818, -7.61145549244395)"
desert_1004,0.2024593203377491,0.21479258424159042,-0.1023347221724337,0.4824900357272319,0.12222152746472144,desert,60,"c(12.1986727825383, 20.5618981760852)"
desert_1005,0.1901497802455475,0.20587961906188207,-0.1105972209957688,0.4617443723710249,0.11930749906651342,desert,60,"c(15.4505442814984, 20.7210482473529)"
desert_1006,0.20588324485997772,0.2187747083315117,-0.0931693568589717,0.471808252585556,0.12215532477739936,desert,60,"c(15.804713981895, 20.1692119510506)"
desert_1007,0.1967749838209142,0.2108843612920815,-0.1200170771472595,0.4807323184981799,0.12336359818408885,desert,60,"c(24.596176414176, 21.9460467950369)"
desert_1008,0.18734106430641234,0.2044827725946802,-0.0939641005919502,0.4433301272862354,0.11903321088305467,desert,60,"c(13.5879092014619, 20.5860484320805)"
desert_1009,0.20657629722087048,0.21687418173227285,-0.1274392678125915,0.4836841625027032,0.1282706316300873,desert,60,"c(14.755889046541, 16.7569500677079)"
desert_1010,0.20055083947702054,0.21138142536994003,-0.1150888944082003,0.4441794376177006,0.12555945852836234,desert,60,"c(15.9559820316793, 17.7925485164503)"
desert_1011,0.184647819912146,0.20801684215742755,-0.1804955527484374,0.4461680776577231,0.1266361156360946,desert,60,"c(28.8097515007287, 18.1077876585766)"
desert_1012,0.2072548394423807,0.21761283579036245,-0.0992864997091552,0.4574184367681945,0.12673120638252927,desert,60,"c(14.0807115875534, 19.2924348263634)"
desert_1013,0.20188439717635162,0.21502843813382966,-0.1144765019444601,0.4636132369821326,0.12104748481880846,desert,60,"c(26.4227465428491, 21.5556669829635)"
desert_1014,0.18099948836003002,0.19972789781510686,-0.1198797069329948,0.412896284075617,0.12120946491326776,desert,60,"c(21.7836227262566, 18.1800600624953)"
desert_1015,0.18944665084544254,0.20855284093074167,-0.0945514883275237,0.458656381124451,0.12684781572181886,desert,60,"c(25.2069062243359, 19.0838154657496)"
desert_1016,0.17802921493633472,0.19542558910064514,-0.1230900697358643,0.408997253413059,0.12223188840878943,desert,60,"c(22.0070191861254, 18.8236787662491)"
desert_1017,0.2017921686765243,0.2085022908729408,-0.1181565693504526,0.484482419605159,0.12309270939557891,desert,60,"c(25.8179244007205, 22.4634479729564)"
desert_1018,0.1900180469586546,0.20024520861876677,-0.1460438594934242,0.4527431443415641,0.12739649644332837,desert,60,"c(17.4658509750736, 16.4402560049787)"
desert_1019,0.20973373941161558,0.2190668574116991,-0.1008731208884281,0.4929245178106316,0.12303290181751164,desert,60,"c(15.0384367499788, 19.4792500176908)"
desert_1020,0.19460086963361412,0.2037223520089172,-0.100689554100121,0.4734306704657796,0.12073282639999186,desert,60,"c(25.6697094563816, 21.2704624614907)"
desert_1021,0.1959946634176785,0.21355312627389414,-0.1159912977328319,0.4676832366546368,0.12100801720382105,desert,60,"c(27.0523008020775, 20.6685707146945)"
desert_1022,0.18770585106946672,0.2108828428727472,-0.1379599290786135,0.487101027623982,0.12593198631002078,desert,60,"c(27.5746028089956, 18.3999843753236)"
desert_1023,0.18733438414441586,0.20354684531557454,-0.1168578763272422,0.4610195384981778,0.1262571517485621,desert,60,"c(16.31733935864, 17.6938278886713)"
desert_1024,0.19220055438443218,0.2067045567582355,-0.1087468674976879,0.4240611094960189,0.12217973573894876,desert,60,"c(21.2297301466178, 20.1141600863234)"
desert_1025,0.18567563700628203,0.19770971527801473,-0.1145523660196939,0.4793645866085386,0.12203343288431348,desert,60,"c(15.3100745346599, 21.1336132640759)"
desert_1026,0.18711556745032126,0.19751752161102465,-0.090196806755683,0.4382842093237479,0.12436509553175205,desert,60,"c(20.161074618073, 18.7466303913213)"
