site_id,site_name,year_image,year_commissioned,site_type,mean_image_value,median_image_value,group,time_period
1,Bafodia,2014,2018,CBIL,0.17686897417761085,0.0929288889756083,5,1
1,Bafodia,2015,2018,CBIL,0.19435005131955044,0.09532468958621285,5,2
1,Bafodia,2016,2018,CBIL,0.06575910238550789,0.06066092582052035,5,3
1,Bafodia,2017,2018,CBIL,0.32951295545151515,0.31228185942804365,5,4
1,Bafodia,2018,2018,CBIL,0.28397532115304297,0.2830818605272595,5,5
1,Bafodia,2019,2018,CBIL,0.2663054696488163,0.23270153344222239,5,6
1,Bafodia,2020,2018,CBIL,0.414274214375846,0.31661819842060074,5,7
1,Bafodia,2021,2018,CBIL,0.3682009449825941,0.3120567437020819,5,8
1,Bafodia,2022,2018,CBIL,0.331210836060637,0.3321701473465899,5,9
1,Bafodia,2023,2018,CBIL,0.3076327528999003,0.3075535131177418,5,10
2,Baiima,2014,2014,Control,0.07947544538877735,0.08274820333040085,0,1
2,Baiima,2015,2014,Control,0.1145979240076156,0.09171480561538256,0,2
2,Baiima,2016,2014,Control,0.06165973856999896,0.06588273174437305,0,3
2,Baiima,2017,2014,Control,0.3151509311630681,0.32994419745848313,0,4
2,Baiima,2018,2014,Control,0.3509514833058239,0.38383741199651955,0,5
2,Baiima,2019,2014,Control,0.2443485238235451,0.25108998071314387,0,6
2,Baiima,2020,2014,Control,0.4044780240745902,0.4093885881898862,0,7
2,Baiima,2021,2014,Control,0.4369450401619872,0.4680158845084883,0,8
2,Baiima,2022,2014,Control,0.4278639586033428,0.40888223034332327,0,9
2,Baiima,2023,2014,Control,0.4213760283597621,0.3801225146417883,0,10
3,Baiwala,2014,2014,Control,0.07674004354825069,0.07405335548590306,0,1
3,Baiwala,2015,2014,Control,0.11663064381739585,0.11328573425613385,0,2
3,Baiwala,2016,2014,Control,0.06875697213434184,0.04491726505689925,0,3
3,Baiwala,2017,2014,Control,0.2752605085681185,0.27230908460294995,0,4
3,Baiwala,2018,2014,Control,0.2665002388394518,0.3044671780544582,0,5
3,Baiwala,2019,2014,Control,0.17968462587055914,0.16099755594917936,0,6
3,Baiwala,2020,2014,Control,0.3335345390205648,0.29482990736483283,0,7
3,Baiwala,2021,2014,Control,0.2790674829721462,0.28794086666045116,0,8
3,Baiwala,2022,2014,Control,0.3611934732851578,0.3698425687996521,0,9
3,Baiwala,2023,2014,Control,0.40409524069591185,0.3793423311961998,0,10
4,Bandajuma Sowa,2014,2019,PowerGen,0.07932970873967476,0.05976761060640535,6,1
4,Bandajuma Sowa,2015,2019,PowerGen,0.11923963872375506,0.12265689693982094,6,2
4,Bandajuma Sowa,2016,2019,PowerGen,0.0998191269647152,0.067746672462071,6,3
4,Bandajuma Sowa,2017,2019,PowerGen,0.3169909970350277,0.32561867943947587,6,4
4,Bandajuma Sowa,2018,2019,PowerGen,0.3363244415405091,0.34586839334334085,6,5
4,Bandajuma Sowa,2019,2019,PowerGen,0.2515778018713641,0.2471368232260363,6,6
4,Bandajuma Sowa,2020,2019,PowerGen,0.3192717006252233,0.34898140980584696,6,7
4,Bandajuma Sowa,2021,2019,PowerGen,0.36453746858976954,0.35588777025008966,6,8
4,Bandajuma Sowa,2022,2019,PowerGen,0.3687019493866313,0.3597507420768819,6,9
4,Bandajuma Sowa,2023,2019,PowerGen,0.3407420551460243,0.3828139382134325,6,10
5,Bandajuma Yawei,2014,2021,PowerGen,0.08224491086544401,0.057377726359237,8,1
5,Bandajuma Yawei,2015,2021,PowerGen,0.12311341678892762,0.12447146519658059,8,2
5,Bandajuma Yawei,2016,2021,PowerGen,0.08221817317385959,0.08700056532719325,8,3
5,Bandajuma Yawei,2017,2021,PowerGen,0.25793857261099795,0.2337985127217939,8,4
5,Bandajuma Yawei,2018,2021,PowerGen,0.2730516783213134,0.30205690813972286,8,5
