id,center,image_date,image_value,type
tree_0,"[-12.17503067677975, 9.66687598974862]",2014-01-01,-0.0382348162459238,tree
tree_1,"[-11.262036573388308, 8.160969908434629]",2014-01-01,0.0404574650281386,tree
tree_2,"[-11.13137723485804, 8.06372341512419]",2014-01-01,-0.0123780488470489,tree
tree_3,"[-12.94397360098245, 8.90835597442643]",2014-01-01,-0.0568107251022707,tree
tree_4,"[-10.642673837548983, 8.5399568621107]",2014-01-01,-0.0342645080828993,tree
tree_5,"[-11.278165370305556, 9.64038943419362]",2014-01-01,0.7870140310563107,tree
tree_6,"[-12.910582282004743, 8.649886836498862]",2014-01-01,-0.0278064480736614,tree
tree_7,"[-12.238503609450673, 9.203949589682702]",2014-01-01,-0.0177335524655976,tree
tree_8,"[-12.039093376256593, 9.174868219782105]",2014-01-01,-0.0483821554573145,tree
tree_9,"[-12.78662938465795, 8.321523638067092]",2014-01-01,-0.0042197450567278,tree
tree_10,"[-11.171437683447222, 9.078336637619136]",2014-01-01,-0.0243122733253651,tree
tree_11,"[-11.63843715987665, 7.800436861244343]",2014-01-01,0.0145483689555374,tree
tree_12,"[-12.392492309119397, 8.054702066760422]",2014-01-01,0.0071160205987876,tree
tree_13,"[-12.608906049077698, 8.486851426971757]",2014-01-01,0.0111230082826948,tree
tree_14,"[-12.59025984970882, 9.089299462294987]",2014-01-01,-0.0417941598862717,tree
tree_15,"[-10.587111971554519, 8.19949601360739]",2014-01-01,-0.0057280360495292,tree
tree_16,"[-12.61660507579259, 8.076925787644932]",2014-01-01,0.0033695803144961,tree
tree_17,"[-12.49706195783479, 8.230162092310179]",2014-01-01,-0.018438090594071,tree
tree_18,"[-12.573494309259104, 8.580357190946753]",2014-01-01,0.0028529436711597,tree
tree_19,"[-12.707428088596602, 8.598953092447799]",2014-01-01,-0.004268703949454,tree
tree_20,"[-12.089248586010005, 9.480142060884234]",2014-01-01,-0.0060329876631606,tree
tree_21,"[-12.05699453237849, 7.999454107609768]",2014-01-01,-0.0077946682018259,tree
tree_22,"[-11.226703675916225, 9.262492630198462]",2014-01-01,-0.024937313040361,tree
tree_23,"[-10.78400468577152, 8.378438005842337]",2014-01-01,-0.0086265206198153,tree
tree_24,"[-11.805918636402556, 9.499720634073256]",2014-01-01,-0.0348956458364925,tree
tree_25,"[-10.887620523538699, 8.172577202812947]",2014-01-01,-0.0103039901734779,tree
tree_26,"[-12.730428074607604, 8.049076573686946]",2014-01-01,-0.0075533504578618,tree
tree_27,"[-11.8134428614669, 9.98421783987528]",2014-01-01,0.0344230548319539,tree
tree_28,"[-10.575168704391059, 8.149244131563044]",2014-01-01,-0.0051558892788875,tree
tree_29,"[-11.170735802049734, 9.876640531917582]",2014-01-01,0.0266589202526273,tree
tree_30,"[-12.234335298749723, 9.77762738759242]",2014-01-01,-0.0111089975227361,tree
tree_31,"[-11.97472663002821, 9.662352475275908]",2014-01-01,0.4932346090654597,tree
tree_32,"[-12.628056387400836, 9.2423913929165]",2014-01-01,-0.0019812563681489,tree
tree_33,"[-12.400839372696801, 9.819530066736439]",2014-01-01,-0.0359436648715701,tree
tree_34,"[-11.188472143413714, 7.579751726984244]",2014-01-01,0.0036246524231084,tree
tree_35,"[-11.559250666995775, 8.813623237116962]",2014-01-01,-0.0092728414431014,tree
tree_36,"[-12.615151135848231, 9.199556202139204]",2014-01-01,-0.051325820037082,tree
tree_37,"[-11.446116702848288, 8.0829699523154]",2014-01-01,0.0178979212239828,tree
tree_38,"[-11.767627597673389, 8.553376036923899]",2014-01-01,-0.0076979029298034,tree
tree_39,"[-12.35344769763381, 9.692474184803153]",2014-01-01,0.0040068488500672,tree
